𐞈,^dz;};
𐞉,^dZ;};
𝼒,dZ};-j
𝼙,dZ};-R
𐞫,^tS;};
𐞭,^ts;};
𝼗,tS};-j
𝼜,tS};-R
𐞇,^dz};
ꭦ,dz;};
ʥ,dZ;};
𐞊,^dZ};
𐞐,^fN};
𝼀,fN};|
𐞙,^ls};
𐞚,^lz};
ʨ,tS;};
𐞬,^ts};
ꭧ,ts;};
𐞮,^tS};
̪͆,-{+{
꜍,#5;<
꜎,#4;<
꜏,#3;<
꜐,#2;<
꜑,#1;<
ʣ,dz};
ʤ,dZ};
𐞍,^d;<
ʩ,fN};
𐞔,^g;<
ʪ,ls};
ʫ,lz};
𐞜,^L;|
ᶪ,^l-j
𐞟,^$;|
𐞧,^4;|
ʦ,ts};
ʧ,tS};
ᶵ,^t-j
𐞹,^!-R
ʬ,ww};
ʭ,dd};
́,+8|
̀,+B|
̂,+C|
̌,+D|
̄,+5|
̗,-6|
̖,-9|
̱,-1|
‖,#||
ˆ,#C|
ˇ,#D|
ˉ,#';
ˉ,#5|
ˊ,#8|
ˋ,#B|
ˍ,#,;
ˍ,#1|
ˎ,#9|
ˏ,#6|
꜈,#5;
꜉,#4;
꜊,#3;
꜋,#2;
꜌,#1;
꜒,#5<
꜓,#4<
꜔,#3<
꜕,#2<
꜖,#1<
ꜞ,^!|
𐞂,^:;
⁰,^#0
¹,^#1
²,^#2
³,^#3
⁴,^#4
⁵,^#5
⁶,^#6
⁷,^#7
⁸,^#8
⁹,^#9
𐞀,^A;
ᶏ,a-R
ᶐ,A-R
𐞄,^B;
ᵬ,b-L
ᶀ,b-j
𐞅,^b<
ᶝ,^S;
ᵭ,d-L
ᶁ,d-j
𐞋,^d;
𐞌,^d<
ᶑ,d;<
ᶒ,e-R
ᶕ,@-R
ᶓ,E-R
𐞎,^e;
ᶔ,3-R
𐞏,^O;
ᵮ,f-L
ᶂ,f-j
ᵍ,^\g
𝼁,g;|
𐞒,^g;
ᶃ,g-j
𐞓,^g<
ʛ,g;<
ꟸ,^%;
𐞖,^H;
𐞗,^x;
ᶧ,^I;
𝼚,1-R
ᶖ,i-R
ᶥ,^I|
ᵼ,I;|
ᶨ,^j;
𐞘,^F<
ᶄ,k-j
𝼃,k;|
ᶫ,^L;
𝼄,L;|
𝼓,$-j
ᶅ,l-j
ᶩ,^l;
𐞝,^$|
𐞞,^$;
𝼅,$;|
𐞡,^5|
ᵯ,m-L
ᶆ,m-j
ᶬ,^m;
ᶰ,^N;
ᵰ,n-L
ᶇ,n-j
ᶯ,^n;
𝼔,N-j
𝼇,N;|
𐞣,^9;
𝼛,o-R
ᶗ,O-R
ᶱ,^o;
𐞤,^U|
ᵱ,p-L
ᶈ,p-j
𐞪,^K;
ᵲ,r-L
𐞦,^4;
𝼈,4;|
ᶉ,r-j
ʵ,^R;
𐞨,^r;
ᵳ,4-L
𝼖,4-j
ꭨ,R-L
𝼕,R-j
ᵴ,s-L
ᶊ,s-j
ᶳ,^s;
ᶋ,S-j
ᶘ,S-R
ƪ,S;|
ʅ,1;|
𝼌,F;|
ᵵ,t-L
ƫ,t-j
𐞯,^t;
𝼉,t;<
𝼍,T;|
ᶙ,u-R
ᶣ,^y;
ʯ,W;|
ᶭ,^M;
ᶌ,v-j
𐞰,^v;
ꭩ,^w;
ᶍ,x-j
ƍ,z;|
ᵶ,z-L
ᶎ,z-j
ᶼ,^z;
ᶽ,^Z;
𝼘,Z-j
ᶚ,Z-R
ƺ,Z;|
𐞳,^?;
𐞴,^Q;
𝼎,?;|
𐞶,^|;
𐞷,^#;
𐞸,^=;
𝼊,!-R
𝼏,c;|
𐞵,^0;
σ,s;|
́,+4
̀,+2
̆,+u
̂,+A
̌,+7
̊,+0
̈,+"
̋,+5
̃,+~
̄,+3
̚,+?
᫁,+(
᫂,+)
͆,+{
᫉,+%
᫈,++
᷾,+<
̍,+=
͐,+>
᷅,+6
᷄,+8
᷆,+9
᷇,+B
͑,+c
᷈,+C
͊,+d
᷉,+D
͊,+N
͗,+O
͌,+V
᫇,+w
̽,+x
̠,--
͉,-?
᫃,-(
᫄,-)
̪,-{
͜,-}
᫊,-%
̯,-^
̟,-+
͔,-<
̩,-=
͕,->
͇,-A
̺,-a
̜,-c
̻,-l
̼,-m
̙,-p
͎,-P
̘,-q
̝,-r
͈,-s
͍,-S
̞,-t
̬,-v
̫,-w
͢,}|
̏,+1
̑,+^
̡,-j
̢,-R
̤,-"
̥,-0
̰,-~
̴,-L
̹,-O
͡,+}
_,\_
-,\-
¡,!|
#,\#
‿,#=
˚,#'
˒,#O
˓,#c
˔,#r
˕,#t
꭪,#q
꭫,#p
˖,#+
˗,#-
˞,+R
˥,#5
˥˧,#B
˥˩,#A
˥˩˥,#D
˦,#4
˧,#3
˧˥,#8
˧˩,#9
˨,#2
˩,#1
˩˥,#7
˩˥˩,#C
˩˧,#6
˭,^=
˳,#,
˹,#?
ꜛ,';
ꜜ,,;
ꜝ,^!
←,#<
→,#>
↑,#E
↓,#I
↗,#R
↘,#F
∅,#0
|,#|
~,\~
◌,#o
𐞁,^:
ˑ,:;
$,\$
ᵃ,^a
𐞃,^&
ᴀ,a|
ᵄ,^6
ᵅ,^A
ᶛ,^8
ᵇ,^b
ʙ,B;
ɓ,b<
ᶜ,^c
